,title,time,label,ChangeK
18,종목명 적게타면 많이 깎아주는 마일리지특약 출시,2016-06-08 09:31:03,0.0031152647975076775,0.0076803144522592515
19,"[@테마]종목명_증권사 목표주가 16,000원, 현재주가는 목표주가에 근접",2016-06-14 13:24:08,0.006472491909385036,-0.003552206497235866
20,종목명 '치과·안과·이비인후과' 이목구비 보험,2016-06-20 15:14:20,0.020134228187919545,0.014190626937352846
21,"종목명, 영업 점포 절반으로 줄여 통폐합한다",2016-06-27 11:45:46,-0.0033670033670033517,0.0008362521079774421
22,"[단독]종목명, 내년 'GA형 점포' 도입한다",2016-07-01 05:19:32,0.013605442176870763,0.008612667905044447
23,"[@기업분석리포트]종목명, ""2분기 실적 호조,…"" HOLD(유지)-유진투자증권",2016-07-04 11:18:03,0.003355704697986628,0.004015509941447393
24,[포커스] 종목명 조직개편 ‘기대반 우려반’,2016-07-06 06:06:05,-0.017006802721088454,-0.018458668463958605
25,적게 타면 최대 31%까지 할인해주는 종목명 車보험 특약,2016-07-08 10:27:04,0.0033783783783782884,-0.005562074609302248
26,"종목명, 보험료 최대 20% 낮춘 건강보험 출시",2016-07-18 10:40:03,-0.003278688524590123,0.0019085169888437559
27,"모바일 건강관리 '눔', 종목명 고객에 앱서비스",2016-07-20 11:10:45,-0.0066225165562914245,-0.0007090391589845702
28,[종목명] 소외이웃 돕고 젊은문화예술 꿈나무 응원,2016-07-26 11:42:05,-0.013157894736842146,0.007464031765851198
29,종목명 상반기 당기순이익 1400억원…전년 比 73% ↑,2016-07-28 15:50:37,0.023333333333333428,-0.0024293874911213154
30,"[@테마]종목명_거래비중 기관 39.18%, 외국인 29.59%",2016-08-01 09:42:08,0.02931596091205213,0.006656140737089311
31,"미래에셋증권, 종목명해상보험 등 금융·증권 직종 채용 정보",2016-08-05 13:33:05,-0.003236245954692518,0.008954821547831893
32,"종목명, 7월 당기순익 283억…25.5% 증가",2016-08-30 16:56:05,0.013029315960912058,-0.0024953994258847256
33,광주 동구-종목명 ‘걱정해결사업’ 협약체결,2016-09-11 17:59:12,-0.006369426751592355,-0.02276397175178979
34,종목명 부담적고 보장 다양… ‘The알뜰한건강보험’ 출시,2016-09-25 19:32:03,-0.006451612903225823,-0.0033884350433950328
35,"종목명, 업계 첫 중증아토피 ADHD진단비 보장",2016-10-17 11:45:11,0.0064102564102563875,0.0024472481370045873
36,"종목명 ""수능 응원하고 기부도 해요""",2016-10-25 15:14:32,0.006389776357827559,-0.0051617617723039855
37,종목명 올 누적 순익 2천218억원…62.8% 증가,2016-10-26 16:57:28,0.015923566878981,0.005079711366462014
38,"중기중앙회·종목명, 건설중장비 사고보상 공제상품 출시",2016-10-31 14:00:05,-0.012383900928792602,-0.005561053547708528
39,종목명 꺼내든 ‘사업가형 본부장제’ 주목,2016-11-07 13:30:07,0.006369426751592355,0.007850544314885521
40,종목명 '사업가형 본부장제 본격 도입에 업계 주목,2016-11-08 18:13:51,-0.009584664536741228,-0.02246203909776967
41,"종목명, 생보사는 손 뗀 '사업가형 본부장' 성공할까",2016-11-10 14:47:33,0.012903225806451646,0.02257987259219396
42,"[로봇뉴스]종목명_현재주가 근처인 15,900원대에 주요매물대가 존재.",2016-11-15 14:12:07,0.018987341772152,-0.0034795355128095506
43,'사업가형 점포' 성공할까..시험대 오르는 종목명,2016-11-21 11:47:13,-0.0030211480362537513,-0.00431985900296461
44,"에어부산-종목명, 온라인 마케팅 제휴 협약",2016-11-22 16:04:01,0.0121212121212122,0.0022586578397965074
45,[새로운 역사를 쓰는 장수기업] 국내 최초서 최고 손해보험회사로 '토종 자부심' 종목명의 질주,2016-11-28 16:03:04,0.0,0.00013144232145645418
46,"SK텔레콤-종목명, 자동차 보험에 `사물인터넷` 접목한다",2016-12-02 10:32:05,-0.009036144578313254,-0.006623826086956441
47,"[로봇뉴스]종목명_거래비중 기관 29.71%, 외국인 42.18%",2016-12-07 11:48:04,0.027439024390243816,0.0010201873575541587
48,"[오늘의종목]종목명, 업황 개선에 설적 추이 유지",2016-12-09 09:16:02,-0.014880952380952328,-0.003141203980968177
49,"[로봇뉴스]종목명_투심과 거래량은 약세, 현재주가는 보통",2016-12-15 09:30:04,-0.01812688821752262,-0.0001079946194602055
50,"[로봇뉴스]종목명_현재주가 근처인 15,700원대에 주요매물대가 존재.",2016-12-19 15:00:03,-0.015151515151515138,-0.0018851726627878707
51,"""종목명 등 배당락이후 주가하락 위험적어""",2016-12-27 09:53:25,0.006329113924050667,0.0021690806036069876
52,종목명 김용범號 ‘성공한 실험’,2017-01-10 11:06:03,-0.006578947368421018,-0.0017864455667241375
53,"[로봇뉴스]종목명_관련종목들도 하락 우위, 금융업업종 +0.42%",2017-01-25 13:51:03,-0.01948051948051943,0.0005711849364342658
54,"종목명, 가입연령 6세로 낮춘 치아보험 출시",2017-02-06 08:44:33,0.006711409395973256,0.002170599563474429
55,스포츠안전재단-종목명 업무협정 체결,2017-02-21 14:43:24,0.00990099009900991,0.00889470778104573
56,"종목명, 1월 당기순익 265억… 전년비 46.1%↑",2017-02-28 18:07:03,0.009740259740259827,0.005263816700401769
57,[ET투자뉴스]종목명_현재의 주가수준에 매물대가 가장 많이 쌓여있어.,2017-03-06 10:24:03,-0.012618296529968487,0.001255613710162251
58,"종목명, 다이렉트 채널 전용 멤버십 출시",2017-03-14 16:07:34,0.006430868167202508,-0.0003655620492265532
59,"종목명, 사물인터넷 활용 車 보험료 할인",2017-03-22 04:03:12,-0.006389776357827448,-0.00462721588583459
60,"종목명, 암 완치 때까지 보험금 주는 보험 출시",2017-04-03 15:07:14,0.012499999999999956,0.0033700254451611844
61,[부고] 강영구(종목명 사장) 씨 장인상,2017-04-05 16:31:56,0.0,-0.003748570068556334
62,[부고] 강영구(종목명 사장)씨 장인상,2017-04-07 09:28:02,0.006172839506172867,-0.00047382185576583247
63,[마이머니 단신] 종목명 ‘계속받는 암 보험’ 출시 외,2017-04-10 03:00:00,-0.012269938650306789,-0.008555865360020731
64,"[ET투자뉴스]종목명_투심과 거래량은 보통, 현재주가는 강세",2017-04-11 11:33:02,0.009316770186335477,-0.00443907604022975
65,"[특징주]종목명, 상승…70억 자사주 취득 결정",2017-04-20 09:15:03,0.0,0.005027123313064985
66,[부고]정승원(종목명 강남지점장)씨 모친상,2017-04-25 09:19:48,0.011560693641618602,0.010631495995986118
67,"종목명, 자동차보험 마일리지 특약 확대",2017-04-28 11:18:36,0.029069767441860517,-0.0018194581802607468
68,"종목명, 'TM전용 치아보험' 출시",2017-05-02 14:05:13,-0.005649717514124242,0.006452218777514229
69,'보험금 늑장지급' 비율 삼성생명·종목명 '최고',2017-05-04 06:30:02,0.022727272727272707,0.009717691710019905
70,보험금 '늑장 지급' 비율 1위는 종목명,2017-05-04 17:50:11,0.016666666666666607,0.02298728392759042
71,"[단독] 종목명, 애견보험 부활시킨다…시장 활성화 '기대'",2017-05-12 14:44:15,0.0027173913043478937,-0.00450715541165525
72,"[fnRASSI]종목명, 52주 신고가...1.62% ↑",2017-05-16 15:16:04,0.018918918918918948,0.00204316512790248
73,종목명 6월부터 개인용 車보험료 0.7% 인하,2017-05-25 16:49:41,-0.010362694300518172,0.005279763953265348
74,최고가 쓴 '종목명' 더 갈까…전망 엇갈리는 이유는?,2017-05-29 15:12:05,-0.010471204188481686,-0.0009892913648047452
75,종목명 4월 순익 427억…전년比 71.1%↑,2017-05-30 17:08:20,-0.005291005291005346,0.00157869295609947
76,"[ET투자뉴스]종목명, ""호실적이 오히려 車…"" HOLD(하향)-한화투자증권",2017-06-01 09:32:11,0.02393617021276606,-0.0011799436555025578
