,title,time,label,ChangeK
22,"[@테마]종목명_주요 매물구간인 9,220원선이 지지대로 작용.",2016-06-08 14:42:08,0.03813559322033888,0.0076803144522592515
23,"[인베스트조선][Weekly Invest] 만도·종목명 등 국내 차 부품사, 닛산 칼소닉 칸세이 인수 나서나",2016-06-10 07:03:05,-0.016460905349794275,-0.00323097311877818
24,하청대금 지연이자 안 준 종목명에 과징금 9천만원,2016-06-21 12:00:17,-0.008849557522123908,0.0007975064630045825
25,"종목명, 시속 250km 재현 '환경풍동실' 완공",2016-06-22 15:43:19,-0.013274336283185861,-0.0029459269538090194
26,"종목명, 환경풍동실 신축…친환경차 기술 개발",2016-06-23 18:33:03,-0.03139013452914796,-0.0309405862993003
27,"국민연금, 종목명 지분 5.01% 보유",2016-07-05 14:41:05,-0.014218009478673022,-0.002731455353159218
28,"[빅데이터MSI유망주]종목명, ""2020년까지 자동차산업 연평균 성장률을 지속적으로 초과 달성할 계획""",2016-07-12 15:07:47,-0.018181818181818188,0.0013527215682078708
29,"종목명, 통상임금 악재에도 펀더멘탈 견조-한국",2016-07-14 07:47:04,-0.009345794392523366,0.0016055301145965206
30,"""종목명, 2분기 기대치 밑돌 듯…목표가↓""-신한",2016-07-26 08:11:04,0.03499999999999992,0.007464031765851198
31,[@테마]종목명_상장주식수 대비 거래량은 0.18%로 적정수준,2016-07-28 13:54:04,0.07943925233644866,-0.0019506051230440136
32,"[Buy-out behind]②종목명, 전기차 수혜 기대감..비용감축 경영 우려 공존",2016-08-05 06:01:04,0.040000000000000036,0.008954821547831893
33,"종목명, 올해 2분기 영업익 949억원…11.6%↑",2016-08-10 08:56:07,0.04444444444444451,0.00042078207429230297
34,"""종목명, 2분기 실적 일회성 요인 반영…하반기 기대"" -IBK",2016-08-11 07:25:03,0.008510638297872353,0.0020346046098487225
35,"[마켓인사이트] 종목명, 베이징자동차와 합작사 설립한다",2016-08-17 19:25:03,-0.026548672566371723,0.0057345423853210065
36,"[@테마]종목명_현재주가 근처인 12,000원대에 주요매물대가 존재.",2016-08-30 13:48:04,0.04035874439461873,0.0036361916437959163
37,[빅데이터MSI]빅데이터MSI 톱5…LG생명과학·대한유화·유한양행·종목명·동국제강,2016-09-09 09:18:54,-0.04365079365079361,-0.012530701812065614
38,[이번주 추천주] CJ E&M·종목명·대한항공 등 유망,2016-09-11 18:07:03,0.0,-0.02276397175178979
39,"종목명, 비수기에 안정적 실적전망-신한",2016-09-19 09:01:03,-0.012345679012345734,0.008212650109630015
40,"[@테마]종목명_주요 매물구간인 12,000원선이 지지대로 작용.",2016-09-27 14:15:07,0.0766129032258065,0.007674274032716477
41,"[@기업분석리포트]종목명, ""현대, 기아차향 매…"" HOLD(유지)-하이투자증권",2016-10-05 15:39:04,-0.03600000000000003,0.005991256210423845
42,"[@기업분석리포트]종목명, ""이미 충분히 알려진…"" NEUTRAL-하나금융투자",2016-10-10 12:54:02,0.04641350210970474,0.0014704542447889768
43,"""종목명, 친환경차 시장 성장에 따라 실적 개선될 것"" - 메리츠",2016-10-11 08:42:06,-0.020161290322580627,-0.012101211178964455
44,"[@테마]종목명_거래비중 기관 24.97%, 외국인 32.64%",2016-10-19 13:00:07,-0.02183406113537123,0.00024989192792990167
45,"종목명·현대자동차, 자동차용 스마트 독립제어 공조시스템",2016-10-31 09:50:04,-0.03167420814479638,-0.005561053547708528
46,종목명 3분기 영업익 45% 증가…주당 50원 현금배당,2016-11-07 13:07:46,0.041284403669724856,0.007850544314885521
47,"LIG증권 ""종목명, 3분기 깜짝실적""",2016-11-08 08:24:22,-0.004405286343612369,0.00290353784466979
48,"[로봇뉴스]종목명, ""친환경차 주행거리 …"" 매수-삼성증권",2016-11-09 12:54:04,-0.04867256637168138,-0.02246203909776967
49,"[로봇뉴스]종목명, ""2017년의 주요 …"" 매수(유지)-이베스트투자증권",2016-12-06 08:57:04,-0.0020682523267838704,0.013497270089264823
50,"종목명, 자동차 열관리시스템 성장 수혜…매수-LIG",2016-12-08 08:33:04,0.047008547008547064,0.019669726091779305
51,"종목명, 중국에 새 엔지니어링센터",2016-12-13 16:33:03,-0.02063983488132093,0.0004371432964680455
52,[로봇뉴스]종목명_상장주식수 대비 거래량은 0.16%로 적정수준,2016-12-16 14:51:05,0.02857142857142847,0.0027446865853866242
53,"종목명, 핵심은 중국..성장 필요-동부",2016-12-23 08:28:40,0.02063983488132104,8.352974199454799e-05
54,"[로봇뉴스]종목명_투심 약세 ,거래량 침체, 현재주가는 보통",2016-12-28 09:33:06,-0.024752475247524774,-0.008657483764363705
55,"[로봇뉴스]종목명_투심 약세 ,거래량 침체, 현재주가는 보통",2017-01-10 10:27:06,-0.05074626865671639,-0.0017864455667241375
56,"[로봇뉴스]종목명, ""중국과 유럽이 각각…"" 매수(유지)-한국투자증권",2017-01-16 10:45:09,-0.00995024875621886,-0.006076741877131031
57,"[로봇뉴스]종목명, ""On track…"" 매수(신규)-미래에셋대우",2017-01-19 08:42:04,-0.021674876847290636,0.0010866730213470177
58,"[로봇뉴스]종목명, ""4분기 양호할 전망…"" NEUTRAL-하나금융투자",2017-01-23 10:06:09,0.004115226337448652,0.00018390837588988518
59,"[fnRASSI]종목명(018880), 52주 신저가 기록...-2.78% ↓",2017-02-02 15:20:01,-0.026666666666666616,-0.00455181981611763
60,"[종목플러스]종목명, 실적 부진한데…증권사들은 왜 사라고 권할까",2017-02-15 15:25:03,-0.053937432578209266,0.004478055064660369
61,"[Hot-Line] ""종목명, 수익성 하락으로 예상치 밑돌아…목표가↓""",2017-02-16 08:37:02,0.014823261117445918,-0.0009693640149904814
62,"[ET투자뉴스]종목명, ""낮아지는 중국 실적…"" 시장수익률(유지)-대신증권",2017-02-17 12:54:04,0.00786516853932584,-0.0006052386094699269
63,"[fnRASSI]종목명, 52주 신저가 경신...-4.48% ↓",2017-03-03 13:06:06,-0.05281285878300801,-0.011366562725096063
64,"[ET투자뉴스]종목명, ""새로운 질서, 새로…"" 매수(유지)-이베스트투자증권",2017-03-06 08:57:03,0.025454545454545396,0.001255613710162251
65,[재계는 지금] 車 열관리시스템 생산 종목명...친환경차 발판 삼아 도약 예고,2017-03-12 14:01:04,0.0011764705882353343,0.009650267744665264
66,[fnRASSI]종목명 전일대비 5.99% 상승,2017-03-14 10:14:05,0.08108108108108114,0.00764545560150931
67,"[ET투자뉴스]종목명, ""뚜렷한 M&A 모멘…"" 매수(유지)-이베스트투자증권",2017-03-15 09:21:06,0.01304347826086949,-0.0003655620492265532
68,"사모펀드 인수 2년…종목명, 전기차시대 준비한다",2017-03-20 04:30:43,-0.015432098765432056,-0.0034972455290240845
69,"종목명, SIPP 만들어 적립금 1105억 투명 운용",2017-03-28 04:04:01,0.0021834061135370675,0.003548865457586148
70,"종목명, 서울모터쇼서 미래 혁신 기술 공개",2017-03-29 09:31:02,0.006535947712418277,0.001696437819781016
71,"종목명, '아이쿨봇' 통해 미래공조기술 선보여",2017-04-02 12:57:49,0.014008620689655249,0.0033700254451611844
72,"[서울모터쇼] 세계 2위의 열 에너지 관리 솔루션 기업 ‘종목명’, 서울모터쇼에서 미래 기술 공개",2017-04-06 09:01:02,0.0011325028312569874,-0.003748570068556334
73,"[ET투자뉴스]종목명, ""상반기는 중국 시장…"" NEUTRAL-하나금융투자",2017-04-10 11:09:03,-0.003432494279176246,-0.008555865360020731
74,"[마켓인][PEF 포트폴리오 분석](4)한앤컴퍼니 인수 2년차 종목명, 비약적 성장 가도",2017-04-11 08:27:04,0.006888633754305484,-0.00443907604022975
75,"[ET투자뉴스]종목명, ""안정적인 성장 지속…"" 매수(유지)-SK증권",2017-04-12 08:54:02,0.0011402508551880963,0.002382378118288564
