Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,28050.000000,28550.000000,27950.000000,28000.000000,24461.775391,134795
2016-06-02,27950.000000,28250.000000,26950.000000,27200.000000,23762.865234,423160
2016-06-03,27350.000000,27750.000000,27200.000000,27400.000000,23937.595703,269029
2016-06-07,27750.000000,27750.000000,27150.000000,27450.000000,23981.275391,145700
2016-06-08,27450.000000,27650.000000,26950.000000,27450.000000,23981.275391,199151
2016-06-09,27350.000000,27950.000000,27300.000000,27750.000000,24243.367188,220976
2016-06-10,27650.000000,28400.000000,26950.000000,27350.000000,23893.914063,351887
2016-06-13,27350.000000,27400.000000,25950.000000,26200.000000,22889.230469,362674
2016-06-14,26300.000000,27250.000000,26250.000000,26650.000000,23282.367188,447914
2016-06-15,26800.000000,27650.000000,26700.000000,26750.000000,23369.732422,286278
2016-06-16,27000.000000,27100.000000,26050.000000,26250.000000,22932.912109,189361
2016-06-17,26500.000000,26950.000000,26350.000000,26450.000000,23107.640625,153626
2016-06-20,26850.000000,27250.000000,26050.000000,26250.000000,22932.912109,282866
2016-06-21,26500.000000,26600.000000,26250.000000,26550.000000,23195.005859,121472
2016-06-22,26600.000000,26700.000000,26250.000000,26400.000000,23063.960938,109977
2016-06-23,26300.000000,26400.000000,25850.000000,26000.000000,22714.503906,183700
2016-06-24,26300.000000,26450.000000,24400.000000,25000.000000,21840.869141,552087
2016-06-27,24300.000000,26500.000000,24300.000000,26150.000000,22845.548828,457214
2016-06-28,26150.000000,26900.000000,26050.000000,26900.000000,23500.777344,337571
2016-06-29,26950.000000,27050.000000,26550.000000,26900.000000,23614.900391,268841
2016-06-30,27150.000000,27150.000000,26400.000000,26550.000000,23307.642578,193144
2016-07-01,26800.000000,26900.000000,26450.000000,26650.000000,23395.429688,207892
2016-07-04,26800.000000,27050.000000,26650.000000,26900.000000,23614.900391,195472
2016-07-05,26800.000000,27800.000000,26750.000000,27600.000000,24229.412109,315352
2016-07-06,27700.000000,28150.000000,27200.000000,27550.000000,24185.519531,375776
2016-07-07,27750.000000,27900.000000,27250.000000,27550.000000,24185.519531,262514
2016-07-08,27600.000000,27650.000000,25750.000000,25850.000000,22693.128906,640577
2016-07-11,25300.000000,25900.000000,24650.000000,24950.000000,21903.039063,1114582
2016-07-12,25150.000000,25900.000000,25050.000000,25450.000000,22341.974609,492492
2016-07-13,25500.000000,25800.000000,25050.000000,25250.000000,22166.402344,397317
2016-07-14,25050.000000,25600.000000,25000.000000,25400.000000,22298.083984,261318
2016-07-15,25550.000000,25550.000000,24850.000000,25150.000000,22078.615234,307079
2016-07-18,25200.000000,25200.000000,24650.000000,24700.000000,21683.570313,273891
2016-07-19,24950.000000,25250.000000,24700.000000,25100.000000,22034.722656,361638
2016-07-20,25250.000000,25250.000000,24850.000000,25100.000000,22034.722656,173416
2016-07-21,25000.000000,25350.000000,24550.000000,24700.000000,21683.570313,341257
2016-07-22,24700.000000,24900.000000,24450.000000,24800.000000,21771.359375,162986
2016-07-25,24950.000000,25000.000000,24100.000000,24150.000000,21200.736328,321870
2016-07-26,24250.000000,26050.000000,24200.000000,25950.000000,22780.916016,587809
2016-07-27,26100.000000,26300.000000,25450.000000,25550.000000,22429.763672,422562
2016-07-28,25750.000000,25950.000000,25000.000000,25550.000000,22429.763672,151413
